t,minmax_e_x,minmax_se,tmma_e_x,tmma_se
800.0,0.0,0.0,0.0,0.0
783.0,4.101094873476541e-06,1.7650168615546136e-07,3.516455535645946e-06,1.2334847099282342e-07
768.0,1.1414849723223597e-05,6.224686899258813e-07,9.372302884003147e-06,4.2795261379069416e-07
752.0,2.2445106878876686e-05,1.4306120874607586e-06,1.7718475646688603e-05,9.761054116097512e-07
736.0,3.658406058093533e-05,2.6083196189574664e-06,2.8107895559514873e-05,1.7860168100014562e-06
721.0,5.250047615845688e-05,4.098298177268589e-06,3.938946611015126e-05,2.842271669578622e-06
705.0,7.190174073912203e-05,6.111827588028973e-06,5.311860513756983e-05,4.280923803889891e-06
690.0,9.291536116506904e-05,8.472225090372376e-06,6.753136403858662e-05,5.981878985039657e-06
675.0,0.00011677809379762039,1.1312667993479408e-05,8.397948113270104e-05,8.090604751487263e-06
661.0,0.00014146309695206583,1.4474844647338614e-05,0.00010099213250214234,1.0465279956406448e-05
646.0,0.00017144993762485683,1.8511764210416004e-05,0.0001217983735841699,1.3500072782335337e-05
632.0,0.00020177722035441548,2.2953998268349096e-05,0.00014270904648583382,1.6912892533582635e-05
617.0,0.0002381499798502773,2.847192263288889e-05,0.00016805811901576817,2.1257934349705465e-05
603.0,0.0002756366739049554,3.4478685847716406e-05,0.00019406092178542167,2.6071003958350047e-05
589.0,0.00031684161513112485,4.1523046093061566e-05,0.00022300766431726515,3.179526174790226e-05
575.0,0.00036167027428746223,4.973278919351287e-05,0.0002539898850955069,3.8518246583407745e-05
562.0,0.0004073985619470477,5.853375114384107e-05,0.00028591707814484835,4.581526081892662e-05
548.0,0.0004607248993124813,6.941961328266189e-05,0.000323455868056044,5.486783993546851e-05
535.0,0.0005154409445822239,8.101477578748018e-05,0.0003633119922596961,6.46375774522312e-05
522.0,0.0005752920405939221,9.422133734915406e-05,0.00040691831964068115,7.577257929369807e-05
509.0,0.000640954589471221,0.00010914743324974552,0.00045529656927101314,8.839889051159844e-05
496.0,0.0007123163668438792,0.00012596767919603735,0.0005086775636300445,0.00010261928400723264
483.0,0.0007894351147115231,0.00014472880866378546,0.000565900991205126,0.00011846134293591604
471.0,0.0008660572348162532,0.00016382179455831647,0.0006230345461517572,0.00013465536176227033
459.0,0.0009481769520789385,0.00018467640620656312,0.000684866972733289,0.00015235327009577304
446.0,0.0010435761651024222,0.00020942697301506996,0.0007567306165583432,0.000173350956174545
434.0,0.0011376799084246159,0.00023438595235347748,0.0008282489143311977,0.000194449836271815
423.0,0.0012279718648642302,0.0002589984214864671,0.0008968214970082045,0.00021531572565436363
411.0,0.0013324973406270146,0.00028792559169232845,0.0009757350198924541,0.00023975838848855346
399.0,0.001442448003217578,0.00031896185828372836,0.001059457310475409,0.00026601608260534704
388.0,0.001549363019876182,0.0003494498960208148,0.0011412471067160368,0.0002916798694059253
377.0,0.001662223832681775,0.00038173250504769385,0.0012284767581149936,0.00031885242788121104
366.0,0.001781016355380416,0.00041590246837586164,0.001319780247285962,0.0003474512486718595
355.0,0.0019049926195293665,0.0004518545465543866,0.0014149185735732317,0.00037734731449745595
344.0,0.002034397330135107,0.0004896102473139763,0.0015140553005039692,0.00040856131818145514
334.0,0.002156634349375963,0.0005253050476312637,0.00160754204262048,0.0004379978636279702
323.0,0.002296465216204524,0.0005660914466716349,0.0017136468086391687,0.0004713640664704144
313.0,0.002427017083391547,0.0006043111206963658,0.0018124952912330627,0.0005024847923777997
303.0,0.0025609557051211596,0.0006434834212996066,0.0019126341212540865,0.0005340678617358208
293.0,0.002699444070458412,0.0006835738895460963,0.002016624202951789,0.0005663711344823241
284.0,0.0028266534209251404,0.0007203492568805814,0.0021119597367942333,0.0005957075045444071
274.0,0.0029704931657761335,0.000761674833483994,0.0022195924539119005,0.0006285083945840597
265.0,0.003103529801592231,0.0007995470659807324,0.002318771556019783,0.0006582164787687361
255.0,0.003252448048442602,0.0008415233460254967,0.0024300524964928627,0.0006911655073054135
246.0,0.003389576217159629,0.0008796629263088107,0.002531670266762376,0.0007205901201814413
238.0,0.0035120847169309855,0.0009134354768320918,0.0026215023826807737,0.000746313773561269
229.0,0.0036507942713797092,0.0009511548560112715,0.0027234749868512154,0.0007748874486424029
220.0,0.0037891778629273176,0.0009883932070806623,0.0028247428126633167,0.0008027594303712249
212.0,0.003911153879016638,0.0010208485182374716,0.002914268057793379,0.0008267785888165236
204.0,0.004031517542898655,0.0010525054531171918,0.003002448473125696,0.0008498516981489956
195.0,0.0041657849214971066,0.0010871331905946136,0.0031003174372017384,0.000874721328727901
188.0,0.004268369637429714,0.0011129667982459068,0.0031742346473038197,0.0008928054594434798
180.0,0.004383646883070469,0.0011413549073040485,0.003257139353081584,0.0009123645140789449
172.0,0.004496200010180473,0.0011682524345815182,0.0033372079487890005,0.0009302421822212636
165.0,0.004591658711433411,0.0011902520200237632,0.0034047041554003954,0.0009445044561289251
158.0,0.004684268031269312,0.0012107797665521502,0.003469462739303708,0.0009573673014529049
150.0,0.004787297919392586,0.0012326702708378434,0.0035412870347499847,0.000970545515883714
143.0,0.004873273894190788,0.0012502212775871158,0.0036001820117235184,0.0009804066503420472
137.0,0.004943950101733208,0.0012638396583497524,0.003648445475846529,0.000987498671747744
130.0,0.005022969096899033,0.0012780107790604234,0.003701759036630392,0.0009942954638972878
124.0,0.005086265970021486,0.0012884587049484253,0.003743940033018589,0.0009985724464058876
117.0,0.005156226456165314,0.001298850285820663,0.0037890009116381407,0.0010017254389822483
111.0,0.005212183576077223,0.001306094927713275,0.003824650077149272,0.001002966775558889
105.0,0.005264477338641882,0.0013114410685375333,0.003856784664094448,0.001002612290903926
99.0,0.005312841385602951,0.0013152580941095948,0.0038853150326758623,0.0010009269462898374
94.0,0.005349983461201191,0.0013171061873435974,0.0039066351018846035,0.0009984903736039996
88.0,0.005392260849475861,0.0013181132962927222,0.003930415026843548,0.0009946797508746386
83.0,0.005425094626843929,0.001317949965596199,0.003948056139051914,0.0009907721541821957
78.0,0.005455429665744305,0.001316751353442669,0.003963383845984936,0.0009861983126029372
73.0,0.005483047571033239,0.0013148769503459334,0.003976840991526842,0.0009810935007408261
68.0,0.005508586764335632,0.00131215900182724,0.003988415468484163,0.000975507078692317
63.0,0.005533060524612665,0.0013091580476611853,0.003998715430498123,0.000969852670095861
59.0,0.005550747737288475,0.0013064121594652534,0.004005742724984884,0.0009652263834141195
55.0,0.005568463355302811,0.0013036145828664303,0.004012962803244591,0.0009606952080503106
51.0,0.005585875827819109,0.0013009730027988553,0.004019830841571093,0.0009563222411088645
47.0,0.005604109726846218,0.001298589282669127,0.004026917275041342,0.000952225411310792
43.0,0.0056215086951851845,0.0012963416520506144,0.004033638630062342,0.000948364264331758
39.0,0.005639621056616306,0.001294440939091146,0.004040472209453583,0.000944765517488122
35.0,0.005656599532812834,0.0012925462797284126,0.004046714399009943,0.000941278412938118
32.0,0.005669110454618931,0.0012912169331684709,0.0040514650754630566,0.0009388600010424852
29.0,0.0056815361604094505,0.0012899951543658972,0.004055797588080168,0.0009364528814330697
26.0,0.005693643353879452,0.0012888977071270347,0.004060477949678898,0.0009342593257315457
23.0,0.005705920048058033,0.0012879895512014627,0.004065023735165596,0.0009322125697508454
20.0,0.005717266350984573,0.0012872382067143917,0.004068566951900721,0.0009302477119490504
18.0,0.005724914371967316,0.0012868253979831934,0.004071168601512909,0.0009290825109928846
15.0,0.005736581515520811,0.0012860485585406423,0.004076189361512661,0.0009275232441723347
13.0,0.005743302404880524,0.001285439939238131,0.004078567493706942,0.0009263691608794034
11.0,0.005749751813709736,0.0012847300386056304,0.004080956801772118,0.0009252207819372416
9.0,0.005756095051765442,0.0012839314294978976,0.004083729349076748,0.0009241452207788825
8.0,0.005758622195571661,0.0012834800872951746,0.004084476735442877,0.0009235711768269539
6.0,0.005764754489064217,0.001282527344301343,0.004087545908987522,0.0009224663372151554
5.0,0.00576658733189106,0.0012819264084100723,0.0040880972519516945,0.0009218482882715762
3.0,0.0057723489589989185,0.0012806829763576388,0.004091279115527868,0.0009205477545037866
2.0,0.0057729678228497505,0.0012797631788998842,0.004091348499059677,0.0009198105544783175
2.0,0.0057729678228497505,0.0012797631788998842,0.004091348499059677,0.0009198105544783175
1.0,0.005774234421551228,0.0012785961152985692,0.0040925899520516396,0.0009188775438815355
0.0,0.005776054225862026,0.0012770305620506406,0.004094957839697599,0.0009176760795526206
0.0,0.005776054225862026,0.0012770305620506406,0.004094957839697599,0.0009176760795526206
0.0,0.005776054225862026,0.0012770305620506406,0.004094957839697599,0.0009176760795526206
0.0,0.005776054225862026,0.0012770305620506406,0.004094957839697599,0.0009176760795526206
-1.0,0.00579585088416934,0.001272787805646658,0.004117525182664394,0.0009144688374362886
