t,minmax_pmse,tmma_pmse,rel_reduction_pct
0.0,0.44148647715169614,0.08490124560609541,80.76923076923077
1.0,0.24466186543004018,0.05027298604726852,79.45205479452055
2.0,0.17292015860316137,0.036410721725728165,78.94362229375004
3.0,0.12525711051464988,0.02669848727407785,78.68505255759094
5.0,0.09037416616634854,0.019738650840634656,78.15896768076132
6.0,0.06678160045833605,0.01476450738075011,77.89135438591136
8.0,0.054500423023325195,0.012346126051829597,77.34673353536049
9.0,0.04575599331780693,0.010492022215660056,77.06962202134761
11.0,0.03571598972613353,0.008391282720128143,76.50552935961842
13.0,0.030416947862969387,0.007321995525185218,75.92790848650775
15.0,0.0233948277814941,0.005770029669588896,75.3363020088007
18.0,0.018830486458172008,0.004816532380859548,74.42162531722975
20.0,0.01575044105655599,0.00412772801331079,73.79293698196052
23.0,0.012734699790295536,0.0034612601501896553,72.82024541460095
26.0,0.010519215215786276,0.0029653332202038947,71.81031893183635
29.0,0.009294878180424777,0.002717709408080918,70.76121542071981
32.0,0.007872008357038248,0.0023875100731232573,69.67089000879147
35.0,0.006933153038617533,0.002181364457455435,68.5371944726263
39.0,0.0059882045454789055,0.0019788481677526725,66.95423222897917
43.0,0.004947435074968136,0.0017175241447313003,65.28455414359607
47.0,0.0042258660991428545,0.0015414993327450704,63.52228640046741
51.0,0.003936264614682816,0.0015091106880920436,61.66135065049107
55.0,0.0034618162360418826,0.0013952649905091133,59.69557898589066
59.0,0.003156335115873471,0.001337689536554728,57.618900165974885
63.0,0.0032903121130411946,0.001466635769480881,55.42563382762835
68.0,0.002385895525982282,0.0011329931275485042,52.512877650749324
73.0,0.002158301649711643,0.0010919963143242565,49.40483344994194
78.0,0.001991101012990501,0.0010731332974542082,46.10352310340933
83.0,0.0019919693874269227,0.0011428786495135425,42.62569210514687
88.0,0.0015920487733390816,0.0009708797870531048,39.016957061131286
94.0,0.0015700683920222577,0.0010256373053747336,34.67562874419079
99.0,0.001289187357840596,0.0008835356823505489,31.465688289832322
105.0,0.0012327560220735975,0.0008282091869223705,32.81645580369957
111.0,0.0012065012901824794,0.0007547052799304126,37.44679047825421
117.0,0.0010326316953213036,0.0006779145335861187,34.35079160772947
124.0,0.0009864490521763597,0.0006008507801242281,39.08952735079453
130.0,0.0009330049052185428,0.0006299586011002773,32.4806764062276
137.0,0.0008163471393072407,0.0005539438454605875,32.143592010297354
143.0,0.0007736145718636205,0.0005504026920190936,28.85311212621221
150.0,0.0006984716975312759,0.0005157279027414175,26.163378621604856
158.0,0.0007514723742791281,0.0004829483849924442,35.73304867584432
165.0,0.0008427113190958688,0.0004899571738733224,41.85942887310575
172.0,0.0007220890319023931,0.00045912916137633836,36.41654406981767
180.0,0.0006107601564722654,0.0004286876982177835,29.8107950109463
188.0,0.0005429776341450449,0.0003923439745373009,27.742148135609103
195.0,0.0005094962530502109,0.00037583485769254526,26.234029113555284
204.0,0.0004728409530520026,0.0003738134506321854,20.943089167855188
212.0,0.00048391675204832046,0.00033402002577650683,30.975725811791282
220.0,0.0005085745834478999,0.00029701301260239173,41.59892722346029
229.0,0.0004034307843998091,0.0003049290380245978,24.41602133108261
238.0,0.0004282965595548105,0.00031768638378792415,25.82560454883393
