t,minmax_pmse,minmax_se,tmma_pmse,tmma_se
0.0,0.44148647715169614,0.02746830980750795,0.08490124560609541,0.005172256344985781
1.0,0.24466186543004018,0.031463082059837805,0.05027298604726852,0.007026084197596615
2.0,0.17292015860316137,0.008888335808548984,0.036410721725728165,0.0017941748572540869
3.0,0.12525711051464988,0.01314642763721507,0.02669848727407785,0.0028788861331771253
5.0,0.09037416616634854,0.008480069562542675,0.019738650840634656,0.001852278540458211
6.0,0.06678160045833605,0.010146749800649568,0.01476450738075011,0.0022383215590466112
8.0,0.054500423023325195,0.00519084060173828,0.012346126051829597,0.0011865396664314438
9.0,0.04575599331780693,0.0030969871202992045,0.010492022215660056,0.000742098355186051
11.0,0.03571598972613353,0.0026954502377333454,0.008391282720128143,0.0005641581158601456
13.0,0.030416947862969387,0.00210595127101425,0.007321995525185218,0.00046393063277297837
15.0,0.0233948277814941,0.0007657372073631932,0.005770029669588896,0.00017389839616800971
18.0,0.018830486458172008,0.0008119605569765271,0.004816532380859548,0.00020568437329612573
20.0,0.01575044105655599,0.00037019006514788254,0.00412772801331079,0.00012771017597645987
23.0,0.012734699790295536,0.0005121024406372893,0.0034612601501896553,0.00014014424855173576
26.0,0.010519215215786276,0.0006330631752076105,0.0029653332202038947,0.00020077781235576826
29.0,0.009294878180424777,0.0005721580961082186,0.002717709408080918,0.00018743200714020682
32.0,0.007872008357038248,0.0002916697933988409,0.0023875100731232573,8.831097407803545e-05
35.0,0.006933153038617533,0.00015909912151970115,0.002181364457455435,4.79368907338925e-05
39.0,0.0059882045454789055,7.319950443585934e-05,0.0019788481677526725,1.8071684566826542e-05
43.0,0.004947435074968136,0.00034583396732058413,0.0017175241447313003,0.00010216219558097713
47.0,0.0042258660991428545,8.645014792615008e-05,0.0015414993327450704,1.8217185132930797e-05
51.0,0.003936264614682816,9.824062672604355e-05,0.0015091106880920436,3.737466155313262e-05
55.0,0.0034618162360418826,9.042382954356094e-05,0.0013952649905091133,5.584518919186213e-05
59.0,0.003156335115873471,0.00012529258618017395,0.001337689536554728,6.065328881681489e-05
63.0,0.0032903121130411946,0.00013592760464874195,0.001466635769480881,5.889041592093699e-05
68.0,0.002385895525982282,4.940624029838627e-05,0.0011329931275485042,2.2985902852056596e-05
73.0,0.002158301649711643,3.51834443705454e-05,0.0010919963143242565,2.1731178293228545e-05
78.0,0.001991101012990501,7.386063300117356e-05,0.0010731332974542082,4.401952150089072e-05
83.0,0.0019919693874269227,0.000168401677772479,0.0011428786495135425,0.00011470809908820203
88.0,0.0015920487733390816,3.586781355616183e-05,0.0009708797870531048,2.5111013577985084e-05
94.0,0.0015700683920222577,7.168117693305407e-05,0.0010256373053747336,3.90517007565334e-05
99.0,0.001289187357840596,4.054407377121425e-05,0.0008835356823505489,2.2486758475140728e-05
105.0,0.0012327560220735975,3.2103586184043356e-05,0.0008282091869223705,2.040021539810176e-05
111.0,0.0012065012901824794,4.104734278157024e-05,0.0007547052799304126,3.080786672283983e-05
117.0,0.0010326316953213036,1.2000703449342581e-05,0.0006779145335861187,7.442034956509992e-06
124.0,0.0009864490521763597,5.5476014125596704e-05,0.0006008507801242281,2.4836969490968223e-05
130.0,0.0009330049052185428,3.055076709309925e-05,0.0006299586011002773,2.219272581789306e-05
